,Rank,Song,Artist,Year,Source,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Popularity
1216,17,do you wanna make love,peter mccann,1977,3.0,0.177,https://api.spotify.com/v1/audio-analysis/08lxWSr4fXgcBT90i7sSm1,0.552,204400,0.451,08lxWSr4fXgcBT90i7sSm1,0,3,0.1,-10.993,1,0.0317,112.703,4,https://api.spotify.com/v1/tracks/08lxWSr4fXgcBT90i7sSm1,audio_features,spotify:track:08lxWSr4fXgcBT90i7sSm1,0.281,18
1217,18,sir duke,stevie wonder,1977,1.0,0.16,https://api.spotify.com/v1/audio-analysis/4RQgqR09VmHn345vRhKQ6T,0.576,234093,0.579,4RQgqR09VmHn345vRhKQ6T,0,6,0.0777,-9.628,1,0.0769,106.978,4,https://api.spotify.com/v1/tracks/4RQgqR09VmHn345vRhKQ6T,audio_features,spotify:track:4RQgqR09VmHn345vRhKQ6T,0.951,63
1218,19,hotel california,eagles,1977,3.0,0.00574,https://api.spotify.com/v1/audio-analysis/40riOy7x9W7GXjyGp4pjAv,0.579,391376,0.508,40riOy7x9W7GXjyGp4pjAv,0.000494,2,0.0575,-9.484,1,0.027,147.125,4,https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv,audio_features,spotify:track:40riOy7x9W7GXjyGp4pjAv,0.623,81
1219,20,got to give it up,marvin gaye,1977,1.0,0.206,https://api.spotify.com/v1/audio-analysis/7pHh9sGZfb7AMoi4NLLYTo,0.864,252640,0.844,7pHh9sGZfb7AMoi4NLLYTo,0.000603,11,0.344,-9.354,0,0.0433,122.644,4,https://api.spotify.com/v1/tracks/7pHh9sGZfb7AMoi4NLLYTo,audio_features,spotify:track:7pHh9sGZfb7AMoi4NLLYTo,0.887,57
1220,21,gonna fly now,bill conti deetta little and nelson pigford,1977,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1221,22,southern nights,glen campbell,1977,1.0,0.0989,https://api.spotify.com/v1/audio-analysis/7kv7zBjMtVf0eIJle2VZxn,0.697,180027,0.813,7kv7zBjMtVf0eIJle2VZxn,0.0232,11,0.583,-8.89,0,0.0315,95.301,4,https://api.spotify.com/v1/tracks/7kv7zBjMtVf0eIJle2VZxn,audio_features,spotify:track:7kv7zBjMtVf0eIJle2VZxn,0.846,71
1222,23,rich girl,hall  oates,1977,3.0,0.5,https://api.spotify.com/v1/audio-analysis/5E3P9e1hvjyIOlFyqNB5eD,0.597,144333,0.643,5E3P9e1hvjyIOlFyqNB5eD,0,5,0.0435,-6.303,1,0.134,167.963,4,https://api.spotify.com/v1/tracks/5E3P9e1hvjyIOlFyqNB5eD,audio_features,spotify:track:5E3P9e1hvjyIOlFyqNB5eD,0.815,73
1223,24,when i need you,leo sayer,1977,1.0,0.724,https://api.spotify.com/v1/audio-analysis/3cOdKdkpf39zuGnMoRgkwX,0.605,251733,0.197,3cOdKdkpf39zuGnMoRgkwX,3.87e-06,1,0.223,-16.459,1,0.0403,109.764,3,https://api.spotify.com/v1/tracks/3cOdKdkpf39zuGnMoRgkwX,audio_features,spotify:track:3cOdKdkpf39zuGnMoRgkwX,0.164,41
1224,25,hot line,the sylvers,1977,1.0,0.24,https://api.spotify.com/v1/audio-analysis/6SrvyfmAxkLt9CULhf9a49,0.831,183320,0.967,6SrvyfmAxkLt9CULhf9a49,1.03e-06,2,0.109,-3.207,1,0.0556,132.824,4,https://api.spotify.com/v1/tracks/6SrvyfmAxkLt9CULhf9a49,audio_features,spotify:track:6SrvyfmAxkLt9CULhf9a49,0.967,29
1225,26,car wash,rose royce,1977,1.0,0.183,https://api.spotify.com/v1/audio-analysis/2pbWkjtGtjkzBdZ95GFINm,0.665,309493,0.53,2pbWkjtGtjkzBdZ95GFINm,4.28e-05,9,0.0613,-13.187,0,0.108,115.046,4,https://api.spotify.com/v1/tracks/2pbWkjtGtjkzBdZ95GFINm,audio_features,spotify:track:2pbWkjtGtjkzBdZ95GFINm,0.868,47
